item,description,primary_machine,runs,scorable_runs,units_made,scorable_units,machine_hrs,direct_labor_hrs,direct_labor_usd,expected_hrs,actual_hrs_scorable,efficiency_pct,standard_looks_suspect,overrun_hrs,overrun_usd,actual_units_per_operator_hr,standard_units_per_operator_hr,actual_units_per_machine_hr
TGB010,ORG Vanilla Nut Tea Bag Goody Bag - GA,Assembly,8,6,1600,900,2.6,2.6,66.71,0.6,2.6,24.3,yes,1.9,50.53,351.56,1449.28,625.0
TB501,ORG Reishi Eleuthero Loose Tea Bag - G,Maisa 2+3,3,3,29880,29880,6.6,22.5,587.13,20.6,22.5,91.5,,1.9,49.85,1326.23,1449.28,4547.95
30008,Instant French Roast 100g Bag / 6 Count Case - G,AMS,6,6,336,336,8.1,23.2,605.63,21.4,23.2,92.0,,1.9,48.22,14.46,15.71,41.53
30013,Instant Miraculous Mushrooms C+5 135g Bag / 6 Count Case,AMS,6,5,553,553,10.3,37.0,965.52,35.2,37.0,95.0,,1.8,48.11,14.93,15.71,53.59
31009,ORG Instant Vanilla Nut Latte 6Ct Case,AMS,3,3,110,110,3.8,8.6,224.9,6.8,8.6,78.8,,1.8,47.74,12.75,16.18,29.33
45050F,Turkey Tail Astragalus Dual Language 10 cnt TB - G,Maisa 2+3,3,3,730,730,9.1,31.9,830.53,30.1,31.9,94.4,,1.8,46.56,22.91,24.27,80.31
TGB501,Reishi Eleuthero Tea Goody Bag - G,Assembly,2,2,520,520,2.1,2.1,54.73,0.4,2.1,17.1,,1.7,45.38,247.62,1449.28,247.62
30012L,ORG GF Dandelion Blend 100g Bag,AMS,5,5,2045,2045,7.0,22.8,593.13,21.1,22.8,92.5,,1.7,44.21,89.85,97.09,292.14
TGB110,ORG French Roast Tea Bag Goody Bag - G,Assembly,3,2,775,750,2.1,2.1,55.25,0.5,2.1,24.4,,1.6,41.76,353.77,1449.28,365.57
45032,ORG Lion's Mane Rhodiola Tea Bag Demo Tray - G,Assembly,4,4,18,18,2.2,2.2,57.85,0.6,2.2,27.8,yes,1.6,41.74,8.11,29.12,8.11
TGB331,ORG Dandelion Mocha Mint Tea Bag Goody Bag - A,Assembly,4,4,550,550,1.9,1.9,50.82,0.4,1.9,19.5,yes,1.6,40.93,282.05,1449.28,282.05
TGB334,ORG Dandelion Coconut Tea Bag Goody Bag - A,Assembly,3,3,525,525,1.9,1.9,49.51,0.4,1.9,19.1,yes,1.5,40.07,276.32,1449.28,276.32
43220L,Org Dandelion Caramel Nut 10 Ct Tea Bag Loose - A,Maisa 2+3,5,4,2516,2278,6.7,17.1,446.67,15.6,17.1,91.3,,1.5,38.83,132.91,145.56,377.78
42099,Teeccino Herbal Tea Holiday Display,Assembly,2,2,7,7,1.7,1.7,45.08,0.2,1.7,13.9,,1.5,38.82,4.05,29.12,4.05
40011F,ORG Vanilla Nut DL 25CT Tea Bag AMZN (24pk) - GA,Assembly,1,1,72,72,1.3,2.6,67.23,1.2,2.6,47.9,,1.3,35.02,27.91,58.24,55.81
50092,Teeccino Chocolate Flavor Sampler,Assembly,3,3,440,440,11.9,16.4,428.69,15.1,16.4,91.9,,1.3,34.93,26.75,29.12,36.97
83010L,ORG Dandelion Vanilla Nut 10 Oz Bag/Box of 24 - A,WeighRight,2,2,1013,1013,2.8,8.3,215.78,7.0,8.3,84.0,,1.3,34.42,122.34,145.56,367.03
10009A,AMZN ORG Chia 2 X 1 Lb Bag,Assembly,1,1,144,144,4.3,4.3,111.28,3.0,4.3,69.5,,1.3,33.97,33.72,48.54,33.72
40132F,ORG Maca Chocolate DL 25CT Tea Bag AMZN (24pk) - G,Assembly,2,2,480,480,2.9,9.5,247.57,8.2,9.5,86.8,,1.3,32.79,50.53,58.24,166.67
80060,ORG Hazelnut 11OZ Bag/6 Count Case - GA,WeighRight,8,6,1380,1380,40.0,120.0,3127.2,56.9,58.1,97.9,,1.2,32.32,23.75,24.27,34.5
TGB208,ORG Irish Cream Tea Bag Goody Bag - G,Assembly,3,3,550,550,1.6,1.6,41.96,0.4,1.6,23.6,yes,1.2,32.07,341.61,1449.28,341.61
TGB130,ORG Maca Chocolate Tea Bag Goody Bag,Assembly,1,1,250,250,1.4,1.4,35.18,0.2,1.4,12.8,,1.2,30.69,185.19,1449.28,185.19
45020L,ORG Chaga Ashwagandha 10-Ct Tea Bag,Maisa 2+3,2,1,648,648,1.1,5.6,145.94,4.5,5.6,79.5,,1.1,29.92,115.71,145.56,578.57
40041,ORG Blood Orange 25CT Tea Bag - GA,Assembly,1,1,60,60,2.1,2.1,56.03,1.0,2.1,47.9,,1.1,29.18,27.91,58.24,27.91
43116,Dandelion DarkRoast Tagless Tea Bag - 50 Ct,Maisa 1,7,6,1890,1890,26.0,78.1,2034.24,64.9,65.9,98.4,,1.0,27.03,28.66,29.12,72.64
40131,ORG Mexican Chocolate 25CT Tea Bag - G,Maisa 2+3,4,4,2272,2272,9.3,40.0,1042.92,39.0,40.0,97.5,,1.0,26.31,56.77,58.24,243.78
80040L,ORG Blood Orange 11OZ Bag/Box of 24 - GA,WeighRight,3,3,7944,7944,17.5,55.5,1447.11,54.6,55.5,98.3,,1.0,24.88,143.06,145.56,454.72
40121,DO NOT MAKE ORG Maya Chai 25CT Tea Bag - G,Maisa 1,2,2,520,520,5.7,9.8,256.43,8.9,9.8,90.7,,0.9,23.76,52.85,58.24,91.87
50093,Wellness Packet Sampler Pack,Assembly,2,2,115,115,4.9,4.9,126.65,3.9,4.9,81.3,,0.9,23.74,23.66,29.12,23.66
10043,"ORG Star Anise, 6Oz Bag",WeighRight,1,1,1200,1200,4.5,13.6,354.94,12.7,13.6,93.4,,0.9,23.45,88.11,94.34,264.32
40012,ORG Vanilla Nut Tea Bag Demo Tray - GA,Assembly,1,1,12,12,1.3,1.3,33.62,0.4,1.3,31.9,,0.9,22.88,9.3,29.12,9.3
85030L,ORG Lion's Mane Rhodiola 10 Oz Bag/Box of 24 - G,WeighRight,1,1,1192,1192,3.0,9.0,234.54,8.2,9.0,91.0,,0.8,21.13,132.44,145.56,397.33
10081A,AMZN - WWB - ORG Roasted Ramon Granules - 1 Lb,AMS,1,1,237,237,1.1,3.2,84.43,2.4,3.2,75.3,,0.8,20.82,73.15,97.09,219.44
45010F,Reishi Eleuthero Dual Language 10 cnt TB - G,Maisa 2+3,1,1,230,230,3.4,10.3,267.38,9.5,10.3,92.4,,0.8,20.37,22.42,24.27,67.25
83223,ORG Dandelion Caramel Nut 10OZ Bag 3PK - A,Assembly,1,1,128,128,3.3,3.3,87.04,2.6,3.3,78.9,,0.7,18.33,38.32,48.54,38.32
43313,DO NOT MAKE ORG Dandelion Mocha Mint 25CT Tea Bag 3PK - A,Maisa 1,1,1,60,60,1.2,3.8,97.72,3.1,3.8,82.4,,0.7,17.18,16.0,19.41,48.0
43311F,ORG Dandelion Mocha Mint DL 25CT Tea Bag AMZN (24pk) - A,Assembly,4,3,384,288,2.7,5.6,145.94,4.9,5.6,88.3,,0.7,17.07,51.43,58.24,142.22
43371,ORG Blueberry Vanilla 25-Ct Tea Bag,Assembly,6,5,788,668,10.0,12.1,315.85,11.5,12.1,94.6,,0.7,16.95,55.12,58.24,78.49
43310F,Dandelion Mocha Mint Dual Language 10 cnt TB - A,Maisa 2+3,4,4,360,360,7.2,15.5,403.41,14.8,15.5,95.8,,0.6,16.79,23.26,24.27,50.14
49999,Teeccino Herbal Tea Shipper,Assembly,6,2,13,3,0.9,0.9,22.15,0.1,0.7,15.8,,0.5,14.25,4.62,29.12,15.29
83113,ORG Dandelion Dark Roast 10OZ Bag 3PK ,WeighRight,2,2,752,752,5.3,16.0,417.48,15.5,16.0,96.7,,0.5,13.78,46.94,48.54,140.82
TGB503,Lion's Mane Rhodiola Tea Goody Bag - G,Assembly,4,3,425,300,0.7,0.7,18.5,0.2,0.7,29.2,yes,0.5,13.11,422.54,1449.28,598.59
10021A,AMZN - WWB - Date Sugar - 1 Lb,AMS,1,1,336,336,1.3,3.9,101.63,3.5,3.9,88.7,,0.4,11.45,86.15,97.09,258.46
40089,ORG Raspberry Mocha 25Ct,Maisa 1,1,1,335,335,2.1,6.2,161.05,5.8,6.2,93.1,,0.4,11.15,54.21,58.24,162.62
TGB505,Turkey Tail Astragalus Tea Goody Bag - G,Assembly,3,3,295,295,0.6,0.6,16.16,0.2,0.6,32.8,yes,0.4,10.85,475.81,1449.28,475.81
90001,Holiday Instant Gift Box,Assembly,1,1,20,20,1.1,1.1,28.67,0.7,1.1,62.4,,0.4,10.77,18.18,29.12,18.18
65020,ORG Chaga Ashwagandha 5 Lb Bag,WeighRight,3,3,124,124,1.5,4.7,121.18,4.3,4.7,91.6,,0.4,10.21,26.67,29.12,80.0
TB506,ORG Tremella Tulsi Loose Tea Bag,Maisa 2+3,1,1,29765,29765,5.2,20.9,545.18,20.5,20.9,98.2,,0.4,9.96,1422.8,1449.28,5691.2
10033,Powdered Fine Date Sugar - 1 Lb Bag,AMS,1,1,120,120,0.4,1.6,41.7,1.2,1.6,77.2,,0.4,9.49,75.0,97.09,300.0
