item,description,primary_machine,scorable_units_2026,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,FY2026_eff_pct
42081,ORG Irish Cream 25Ct Tea Bag Box - G,Maisa 1,701,,,,71.7,101.7,,,85.0
80020L,ORG Chocolate Mint 11OZ Bag/Box of 24 - GA,AMS,672,,,,133.0,,,,133.0
43371,ORG Blueberry Vanilla 25-Ct Tea Bag,Assembly,668,,,,56.6,203.4,,70.1,94.6
10028L,"Organic Cacao Nibs, 1 Lb Bag",AMS,660,,,,,21.3,,22.1,21.7
10046L,"Organic Dandelion Root Powder, Medium Roast, 1 Lb Bag",AMS,660,,,,,,21.6,19.8,20.6
80083,ORG Mocha 11OZ Bag 3PK  - GA,WeighRight,656,140.9,95.5,,,,212.6,103.9,115.4
45020L,ORG Chaga Ashwagandha 10-Ct Tea Bag,Maisa 2+3,648,,,79.5,,,,,79.5
45070L,Org Miraculous Mushroom A&P 10Ct Tea Bag Loose,Maisa 2+3,648,,160.1,,,,,,160.1
83370L,ORG Blueberry Vanilla 10 Oz Bag/Box of 24,WeighRight,648,115.9,,,,,,,115.9
60110,ORG French Roast 5 Lb Bag - G,WeighRight,614,223.3,261.6,275.5,,221.0,244.2,305.2,254.6
12251L,Holiday Tea Bag Sampler Box ,Assembly,612,,,,,,310.2,247.2,269.8
42040L,ORG Snickerdoodle 10ct Loose - GA,Maisa 1,612,,124.0,,,,,,124.0
80033,ORG Almond Amaretto 11OZ Bag 3PK - GA,WeighRight,608,204.4,,138.5,,96.4,,192.7,151.3
40051,Org English Toffee 25-Ct Tea Bag - GA,Maisa 1,600,,,105.7,,,,,105.7
80066A,Hazelnut 500g APG Bag - GA,WeighRight,600,,132.9,,,,,,132.9
43110F,Dandelion Dark Roast Dual Language 10ct/6pk Tea Bag,Assembly,580,,139.4,,37.4,,,,52.6
31007,ORG Instant Miraculous Mushrooms AP Latte 6Ct Case ,AMS,569,727.1,,76.9,,,82.9,,84.1
30013,Instant Miraculous Mushrooms C+5 135g Bag / 6 Count Case,AMS,553,154.6,148.2,,,,84.4,,95.0
TGB208,ORG Irish Cream Tea Bag Goody Bag - G,Assembly,550,,25.0,,,15.0,,,23.6
TGB331,ORG Dandelion Mocha Mint Tea Bag Goody Bag - A,Assembly,550,,,11.5,17.2,20.3,,,19.5
48002,WWB ORG Roasted Barley 25ct Tea Bag - G,Maisa 1,549,,72.6,,,,,,72.6
40010A,AMZN Org Vanilla Nut 10 Ct Tea Bag Loose - GA,Maisa 2+3,540,,111.4,123.7,,,,,119.3
43001,Dandelion Tea Sampler Box - 6 Count Case,Assembly,540,29.9,11.6,32.2,,,,,25.5
82080L,ORG Irish Cream 11 Oz Bag/Box of 24 - G,WeighRight,528,,223.9,,,,,,223.9
TGB334,ORG Dandelion Coconut Tea Bag Goody Bag - A,Assembly,525,,,,3.7,24.1,,,19.1
40121,DO NOT MAKE ORG Maya Chai 25CT Tea Bag - G,Maisa 1,520,69.3,103.0,,,,,,90.7
TGB501,Reishi Eleuthero Tea Goody Bag - G,Assembly,520,,15.3,,,17.2,,,17.1
40060L,Org Hazelnut 10 Ct Tea Bag Loose - GA,AMS,512,,,,99.4,,,,99.4
31014,ORG Instant Miraculous Mushroom Matcha Latte 6Ct Case,AMS,511,,,103.8,,,81.5,,84.4
46013,ORG Dark Chocolate 25CT Tea Bag 3PK,Maisa 2+3,496,,130.8,170.5,,,,,155.3
40132F,ORG Maca Chocolate DL 25CT Tea Bag AMZN (24pk) - G,Assembly,480,56.1,191.7,,,,,,86.8
GDB502,ORG Chaga Ashwaganda Packet Goody Bag,Assembly,480,2146.2,1373.6,,,2134.6,,438.4,863.0
43220F,Dandelion Caramel Nut Dual Language 10 cnt TB - A,Maisa 2+3,470,,126.4,97.9,,,93.1,,108.4
20081,ORG Mocha 300G Dual Language Bag - 6Ct Case - GA,WeighRight,468,84.0,,,,30.1,,82.1,56.8
45030F,Lion's Mane Rhodiola Dual Language 10 cnt TB - G,Maisa 2+3,460,,90.5,,,,,,90.5
80070,ORG Java 11OZ Bag/6 Count Case - GA,WeighRight,451,160.7,12.5,143.3,109.9,,,,37.7
40113,ORG French Roast 25CT Tea Bag 3PK - G,Maisa 1,444,48.5,,77.9,,,116.6,,76.0
50092,Teeccino Chocolate Flavor Sampler,Assembly,440,94.3,,,,,88.8,,91.9
GDB110,ORG French Roast Packet Goody Bag - G,Assembly,435,,,572.3,,1042.9,,,995.9
42080L,ORG Irish Cream 10ct Loose - G,Assembly,432,,,,25.9,,,,25.9
80016,Vanilla Nut 500g APG Bag - GA,WeighRight,432,,,,,,,114.1,114.1
82040L,ORG Snickerdoodle 11OZ Bag/Box of 24 - GA,WeighRight,432,,,,,,190.2,,190.2
10102,WWB - ORG Medium Roasted Carob 1 Lb x 2,AMS,384,,,28.6,,,,,28.6
43314,ORG Dandelion Mocha Mint 10CT Tea Bag 4PK - A,Maisa 1,384,100.3,149.7,,,,,,124.2
60060,ORG Hazelnut 5 Lb Bag - GA,WeighRight,380,163.5,,,208.1,,183.1,258.8,183.5
52040,ORG Snickerdoodle 30g Trial Size Packet - GA,WeighRight,379,,,,,197.3,,,197.3
43370F,Dandelion Blueberry Vanilla Dual Language 10 cnt TB,Maisa 1,363,,,98.2,,,,,98.2
43111F,ORG Dandelion Dark Roast DL 25CT Tea Bag AMZN (24pk),Maisa 2+3,360,,,173.6,,,,,173.6
43310F,Dandelion Mocha Mint Dual Language 10 cnt TB - A,Maisa 2+3,360,,127.8,,,85.2,,,95.8
43370L,Org Dandelion Blueberry Vanilla 10Ct Tea Bag Loose,Maisa 2+3,360,,,,,120.6,,,120.6
83116,Dandelion Dark Roast 500g APG Bag,WeighRight,360,,,,,,,98.9,98.9
83320L,ORG Dandelion Red Chai 10 Oz Bag/Box of 24,WeighRight,355,150.5,,,,,,,150.5
42021,ORG Caramel Nut 25CT Tea Bag - GA,Assembly,351,,,,,26.3,26.7,,26.5
10021A,AMZN - WWB - Date Sugar - 1 Lb,AMS,336,,88.7,,,,,,88.7
30008,Instant French Roast 100g Bag / 6 Count Case - G,AMS,336,94.6,795.8,89.3,,,,,92.0
40089,ORG Raspberry Mocha 25Ct,Maisa 1,335,,93.1,,,,,,93.1
60010,ORG Vanilla Nut 5 Lb Bag - GA,WeighRight,328,277.5,194.8,,4.3,,228.9,343.4,15.3
80133,ORG MACA Chocolate 11OZ Bag 3PK - G,Assembly,320,,189.4,,,80.4,,,112.9
10029L,"Organic Maca Powder, 1 Lb Bag",AMS,300,,,,,11.0,,,11.0
10203L,Organic Peppermint 50Ct NTB - MAISA 1 only,Maisa 2+3,300,,,,,,7.9,,7.9
20011,ORG Vanilla Nut 300G Dual Language Bag - 6Ct Case - GA,WeighRight,300,131.9,,,,537.5,,,241.0
20061,ORG Hazelnut 300G Dual Language Bag - 6Ct Case - GA,WeighRight,300,,121.8,,,76.3,,,98.4
20111,ORG French Roast 300G Dual Language Bag - 6Ct Case - G,WeighRight,300,,117.2,,,111.4,,,114.8
40091,Teeccino Intro Tea Bag Sampler,Assembly,300,,,296.0,,,,,296.0
TGB503,Lion's Mane Rhodiola Tea Goody Bag - G,Assembly,300,43.1,,14.4,31.4,,,,29.2
TGB505,Turkey Tail Astragalus Tea Goody Bag - G,Assembly,295,,27.6,19.2,35.9,,,,32.8
43311F,ORG Dandelion Mocha Mint DL 25CT Tea Bag AMZN (24pk) - A,Assembly,288,,,,34.3,185.4,,,88.3
43370,ORG Dandelion Blueberry Vanilla 10ct/6pk Tea Bag,Maisa 1,288,,111.1,,,21.7,,,109.5
45010L,ORG Reishi Eleuthero 10-Ct Tea Bag - G,Maisa 2+3,288,,,,152.2,,,,152.2
80020A,AMZN Org Chocolate Mint11OZ Bag/Box of 24 - GA,WeighRight,288,,,,131.9,,,,131.9
40030,ORG Almond Amaretto 10ct/6pk Tea Bag - GA,Assembly,277,,,,,45.4,,,45.4
30012,Instant Dandelion Blend 100g Bag / 6 Count Case,AMS,267,22.8,,62.4,,,,,36.7
60070,ORG Java 5 Lb Bag - GA,WeighRight,258,223.2,,,208.1,228.9,190.8,305.2,227.2
43224,ORG Dandelion Caramel Nut 10CT Tea Bag 4PK X0019VIU9N,Assembly,256,,19.4,172.4,,,,,43.5
80030,ORG Almond Amaretto 11OZ Bag/6 Count Case - GA,WeighRight,252,,,,148.5,,13.9,,24.4
85070,ORG Miraculous Mushrooms A&P 6Ct/10Oz APG Bag,WeighRight,251,,,,163.1,,73.3,,117.3
GDB080,ORG Mocha Packet Goody Bag,Assembly,250,,1373.6,,,1755.2,,,1717.0
TGB130,ORG Maca Chocolate Tea Bag Goody Bag,Assembly,250,,,,12.8,,,,12.8
31008,ORG Instant French Roast Latte 6Ct Case,AMS,247,618.0,,79.0,,,,,80.4
40063,ORG Hazelnut 25CT Tea Bag 3PK - GA,Assembly,240,,,,40.4,91.6,,,56.0
43223,ORG Dandelion Caramel Nut 25CT Tea Bag 3PK - A,Maisa 2+3,240,,,,105.7,,,,105.7
55092,Mushroom 6 Packet Sampler,Assembly,240,155.5,,,,,,,155.5
85023,ORG Chaga Ashwagandha 10OZ Bag 3PK ,WeighRight,240,,143.3,,,,,,143.3
89002,HZ/JV/MO 11 Oz Variety Pack,Assembly,240,,,,,,,265.4,265.4
10081A,AMZN - WWB - ORG Roasted Ramon Granules - 1 Lb,AMS,237,,,,,,,75.3,75.3
63110,ORG Dandelion Dark Roast 5 Lb Bag,WeighRight,235,,83.2,,286.2,148.4,,169.6,137.2
45010F,Reishi Eleuthero Dual Language 10 cnt TB - G,Maisa 2+3,230,,,,,92.4,,,92.4
60030,ORG Almond Amaretto 5 Lb Bag - GA,WeighRight,228,202.0,157.9,,274.7,,356.1,269.3,228.9
30011,Instant Mocha 100g Bag / 6 Count Case - G,AMS,226,227.0,99.5,83.8,,,,,101.0
83360L,ORG Holiday Egg Nog 10oz Bag/Box of 24,WeighRight,222,188.3,,,,,,,188.3
10025,ORG Lavender 1LB Bag - 79523910025,AMS,220,,22.0,,,,,,22.0
GDB060,ORG Hazelnut Packet Goody Bag - GA,Assembly,220,,1373.6,553.9,,189.4,,,245.3
43113,ORG Dandelion Dark Roast 25CT Tea Bag 3PK,Maisa 2+3,216,,154.5,,,,,,154.5
50091,Teeccino Nut Flavor Sampler,Assembly,200,,71.5,,,,,,71.5
GDB311,ORG Dandelion Dark Roast Packet Goody Bag,Assembly,200,,1373.6,,,,,600.1,635.9
43221F,ORG Dandelion Caramel Nut DL 25CT Tea Bag AMZN (24pk) - A,Assembly,192,,,,51.5,,,49.5,50.3
40033,ORG Almond Amaretto 25CT Tea Bag 3PK - GA,Assembly,180,,,34.0,86.9,,,,57.2
30010,Instant Hazelnut 100g Bag / 6 Count Case - G,AMS,175,129.9,,45.1,,82.2,,,70.5
40013,ORG Vanila Nut 25CT Tea Bag 3PK - GA,Maisa 2+3,168,,,84.1,226.8,,,,102.5
55010,Reishi Eleuthero 30g Trial Size Packet - G,WeighRight,165,,,,151.1,,,,151.1
85010,ORG Reishi Eleuthero 10 Oz Bag/6 Count Case - G,WeighRight,160,,,,145.9,106.3,,,114.1
60080,ORG Mocha 5 Lb Bag - GA,WeighRight,157,147.2,,,203.5,,109.9,281.8,165.9
80130,ORG MACA Chocolate 11OZ Bag/6 Count Case - G,WeighRight,151,,,,160.8,,,,160.8
55092A,AMZN Mushroom 6 Packet Sampler,Assembly,150,,,,152.4,,,,152.4
10009A,AMZN ORG Chia 2 X 1 Lb Bag,Assembly,144,,,69.5,,,,,69.5
85050,ORG Turkey Tail Astragalus 10 Oz Bag/6 Count Case - G,WeighRight,140,,,102.8,,,,,102.8
31005,ORG Instant Dandelion Blend Latte 6Ct Case ,AMS,136,213.1,,452.7,,,,,418.1
83223,ORG Dandelion Caramel Nut 10OZ Bag 3PK - A,Assembly,128,,78.9,,,,,,78.9
65020,ORG Chaga Ashwagandha 5 Lb Bag,WeighRight,124,88.9,,,,,190.8,68.7,91.6
40060F,Hazelnut Dual Language 10 cnt TB - GA,Maisa 1,121,,,,,,53.1,,53.1
10033,Powdered Fine Date Sugar - 1 Lb Bag,AMS,120,,,,77.2,,,,77.2
40061F,ORG Hazelnut DL 25CT Tea Bag AMZN (24pk) - GA,Assembly,120,,,,,,,41.9,41.9
66010,ORG Dark Chocolate 5 Lb Bag,WeighRight,116,,127.2,,323.2,,,76.3,139.8
50093,Wellness Packet Sampler Pack,Assembly,115,,168.3,,71.0,,,,81.3
31009,ORG Instant Vanilla Nut Latte 6Ct Case,AMS,110,217.0,54.0,,,,,,78.8
40141,ORG Original 25ct Tea Bag - G,Assembly,109,,,,,,34.1,,34.1
63220,ORG Dandelion Caramel Nut 5 Lb Bag - A,WeighRight,108,214.6,,,,179.2,,,197.3
30009,Instant Vanilla Nut 100g Bag / 6 Count Case - G,AMS,106,230.6,,51.1,,,,,77.2
31011,ORG Instant Mocha Latte 6Ct Case,AMS,100,,68.2,,,,,,68.2
GDB010,ORG Vanilla Nut Packet Goody Bag - GA,Assembly,100,,,572.3,,613.2,,,592.1
42121,ORG Chocolate Raspberry 25CT Tea Bag - G,Assembly,99,,,,,,29.3,,29.3
43114,ORG Dandelion Dark Roast 10CT Tea Bag 4PK (with DCO/DMM Goody Bag),Maisa 2+3,96,202.9,,,,,,,202.9
49011,25 Count Variety Pack (CM/CH/PDC),Assembly,96,,,166.1,,,,,166.1
83220,ORG Dandelion Caramel Nut 10 Oz Bag/6 Count Case - A,AMS,96,,,,121.4,,,,121.4
85013,DO NOT MAKE ORG Reishi Eleuthero 10OZ Bag 3PK  - G,Assembly,96,87.9,,,,,,,87.9
60120,DO NOT MAKE ORG Maya Chai 5 Lb Bag - G,WeighRight,95,146.5,,360.6,,,,,241.7
29002,ORG FR/HZ/VN 300g Variety Pack,Assembly,83,,,,154.5,,,741.7,285.0
80099,ORG Raspberry Mocha 11OZ Bag 3PK - GA,Assembly,80,,,,126.8,,,,126.8
40011F,ORG Vanilla Nut DL 25CT Tea Bag AMZN (24pk) - GA,Assembly,72,,,,47.9,,,,47.9
65050,ORG Turkey Tail Astragalus 5 Lb Bag - G,WeighRight,67,91.6,,,206.0,,,,118.0
40041,ORG Blood Orange 25CT Tea Bag - GA,Assembly,60,,,,,47.9,,,47.9
43313,DO NOT MAKE ORG Dandelion Mocha Mint 25CT Tea Bag 3PK - A,Maisa 1,60,82.4,,,,,,,82.4
60130,ORG MACA Chocolate 5 Lb Bag - G,WeighRight,60,,152.6,,188.5,,,171.7,171.7
CLBOXAPG,Teeccino Chocolate Lovers APG Box,Assembly,60,,86.9,,,,,,86.9
65010,ORG Reishi Eleuthero 5 Lb Bag - G,WeighRight,56,,254.4,128.2,,,,78.5,140.4
62060,ORG Maple Pecan 5 Lb Bag - GA,WeighRight,52,,,,,208.1,,135.7,156.6
GDB601,ORG Dark Chocolate Packet Goody Bag,Assembly,50,,,,,686.8,,,686.8
31010,ORG Instant Hazelnut Latte 6Ct Case,AMS,45,220.7,,110.4,,,,,132.4
GDB501,ORG Reishi Eleuthero Packet Goody Bag - G,Assembly,45,,1144.7,572.3,,,,,735.9
62040,Snickerdoodle 5 LB bag - GA,WeighRight,44,,,,,148.1,,,148.1
12251,Holiday Tea Bag Sampler Box - 6 Count Case,Assembly,40,,,,,,,28.1,28.1
63340,ORG Dandelion Coconut 5 Lb Bag - A,WeighRight,40,,,134.7,208.1,,,,163.5
83110,ORG Dandelion Dark Roast 10 Oz Bag/6 Count Case,WeighRight,40,,,,,,171.7,,171.7
60020,ORG Chocolate Mint 5 Lb Bag - GA,WeighRight,32,,,,215.5,,,,215.5
63080,ORG Dandelion Mocha 5 Lb Bag - A,WeighRight,32,,,,203.5,,,,203.5
62070,ORG Candy Cane 5 Lb Bag  - G,WeighRight,31,126.7,,,,,,,126.7
63310,ORG Dandelion Mocha Mint 5 Lb Bag - A,WeighRight,24,,,,,171.7,,,171.7
90001,Holiday Instant Gift Box,Assembly,20,,,,,,62.4,,62.4
45032,ORG Lion's Mane Rhodiola Tea Bag Demo Tray - G,Assembly,18,17.3,95.4,,,38.2,,,27.8
40012,ORG Vanilla Nut Tea Bag Demo Tray - GA,Assembly,12,,,,,,,31.9,31.9
63010,ORG Dandelion Vanilla Nut 5 Lb Bag - A,WeighRight,12,,,114.5,,,,,114.5
TB020,ORG Chocolate Mint Tea Bag - GA,Maisa 1,11,,,0.1,,,,,0.1
45022,Chaga Ashwaganda TB Demo Tray,Assembly,10,,190.8,,,38.2,,,63.6
45052,Turkey Tail Astragalus TB Demo Tray - G,Assembly,10,,343.4,,,38.2,,,68.7
42099,Teeccino Herbal Tea Holiday Display,Assembly,7,,,,,,9.8,14.9,13.9
43222,ORG Dandelion Caramel Nut Tea Bag Demo Tray - A,Assembly,6,,,,,,,46.8,46.8
43342,ORG Dandelion Coconut Tea Bag Demo Tray - A,Assembly,6,,,,,,,50.3,50.3
46012,ORG Dark Chocolate Tea Bag Demo Tray,Assembly,6,,,,,,,54.2,54.2
49999,Teeccino Herbal Tea Shipper,Assembly,3,,,15.3,,17.2,,,15.8
