item,description,primary_machine,scorable_units_2026,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,FY2026_eff_pct
43001L,Dandelion Tea Sampler Box - Loose - G,Assembly,5990,,88.4,407.2,173.3,,297.5,155.0,135.1
10039A,AMZN Roasted French Chicory 2 X 1 Lb Bag,WeighRight,5664,66.3,52.4,52.3,,35.2,36.5,,42.8
10042,ORG Burdock 1 Lb Bag,WeighRight,5631,,289.8,38.7,131.1,223.9,,107.6,124.0
40010,ORG Vanilla Nut 10ct/6pk Tea Bag - GA,Maisa 2+3,5621,73.0,98.1,109.3,82.9,,,,97.0
43221,ORG Dandelion Caramel Nut 25CT Tea Bag - A,Maisa 2+3,5560,,87.1,110.4,91.3,,76.5,,90.9
10012,"ORG Lemon Grass, 7 Oz Bag",AMS,5520,,51.7,,,,,54.1,52.6
43110,ORG Dandelion Dark Roast 10ct/6pk Tea Bag,Maisa 2+3,5485,34.8,117.3,77.1,97.7,,,51.0,65.7
45001L,Mushroom Adapt Tea Bag Sampler Box,Assembly,5302,,68.9,127.1,,208.3,,188.9,117.1
10008,"Org Rooibos, 8 Oz Bag",AMS,4911,208.7,172.7,80.6,,52.1,,91.7,101.2
40111,ORG French Roast 25CT Tea Bag - G,Maisa 1,4800,69.8,103.0,105.5,,53.2,70.5,,84.8
55070,ORG Miraculous Mushrooms A+P 30g Trial Size Packet,WeighRight,4705,,,148.4,,,107.5,,124.6
46010,ORG Dark Chocolate 10 Ct Tea Bag/6 Count Case,Maisa 2+3,4531,93.2,113.5,91.5,143.8,,,,110.4
80110L,Org French Roast 11oz Bag/Box of 24 - G,WeighRight,4344,113.6,,,138.4,112.1,121.2,,118.4
10402A,AMZN- WWB-ORG Rama Tulsi - 8 OZ Bag,AMS,4296,33.8,55.6,40.8,,24.9,,,37.7
10071,AMZN - WWB - ORG Roasted Barley - 1 Lb - G,AMS,4248,171.0,56.9,91.3,,,,,77.2
TB507,ORG Miraculous Mushroom A&P Loose Tea Bag,Maisa 2+3,4200,,,,,113.1,,46.0,105.8
10101,WWB - ORG Medium Roasted Carob Flour - 1 Lb Bag,AMS,4176,23.8,,58.0,48.5,,,,34.1
30003,Instant Chicory - 8 Oz Bag,AMS,3967,38.8,,,,,,41.4,39.3
40001A,AMZN Labeled Herbal Tea Sampler Box/Variety Pack,Assembly,3960,181.4,250.9,,173.0,271.9,,,236.1
80060A,AMZN Org Hazelnut 11OZ Bag/Box of 24 - GA,WeighRight,3924,128.3,,,89.2,,185.7,,123.4
45021,ORG Chaga Ashwagandha 25 Ct Tea Bag,Maisa 2+3,3906,,100.3,109.6,,,70.9,,88.4
30008L,ORG Instant French Roast 100g Bag - G,AMS,3845,60.8,,60.1,63.5,,107.2,117.1,74.8
43310L,Org Dandelion Mocha Mint 10 Ct Tea Bag Loose - A,Maisa 2+3,3806,127.8,,128.9,86.6,224.8,,,123.8
40060,ORG Hazelnut 10ct/6pk Tea Bag - GA,Maisa 1,3705,117.0,95.7,122.6,111.5,65.5,,,103.6
80010A,AMZN Org Vanilla Nut 11OZ Bag/Box of 24 - GA,WeighRight,3504,131.9,,105.7,,,112.2,,113.5
80060L,Org Hazelnut 11OZ Bag/Box of 24 - GA,WeighRight,3504,149.5,132.1,,,,130.4,,139.3
43341,Dandelion Coconut 25 Count Tea Bag - A,Maisa 1,3408,95.7,102.2,105.7,100.2,,,,101.0
80030L,ORG Almond Amaretto 11OZ Bag/Box of 24 - GA,WeighRight,3392,121.1,,,84.6,,47.2,122.1,84.9
40061,ORG Hazelnut 25CT Tea Bag - GA,Maisa 1,3360,,87.9,121.2,104.7,,,,101.9
10022,ORG Raw Dandelion1 Lb Bag,AMS,3284,,,72.3,68.0,24.5,,,65.9
50130,ORG MACA Chocolate 30g Trial Size Packet - G,WeighRight,3240,173.0,,,176.7,,,103.5,142.1
10044,AMZN- WWB-ORG Hibiscus - 1 Lb Bag,AMS,3233,112.7,16.2,,56.6,29.6,39.3,55.4,42.6
30013L,ORG Miraculous Mushrooms Cacao 135g Bag,AMS,3208,25.2,,55.0,70.8,,79.9,,43.2
80010,ORG Vanilla Nut 11oz Bag/6 Count Case - GA,WeighRight,3193,,127.9,109.5,119.5,107.2,,101.3,113.8
85020L,ORG Chaga Ashwagandha 10 Oz Bag/Box of 24,WeighRight,3144,116.8,122.1,,,,,105.0,115.8
43311,Dandelion Mocha Mint 25 Count Tea Bag - A,Maisa 1,3123,96.7,,,72.8,,,,82.4
10024,ORG Lavender 4 Oz Bag - 79523910024,AMS,3096,63.0,58.8,,,113.8,,,67.9
10027,Organic Licorice C/S - 8 Oz Bag,WeighRight,3080,128.0,157.4,,69.2,,,,113.4
TB070,ORG Java Tea Bag - GA,Maisa 1,3000,,,,160.5,,,,160.5
80110,ORG French Roast 11OZ Bag/6 Count Case - G,WeighRight,2987,78.4,109.3,31.1,176.3,83.3,109.3,,75.5
80030A,AMZN Org Almond Amaretto 11OZ Bag/Box of 24 - GA,WeighRight,2928,124.3,,120.6,,,,824.4,140.0
50080,ORG Mocha 30g Trial Size Packet - GA,WeighRight,2880,167.1,,,,148.3,,,154.8
30007L,ORG Instant Miraculous Mushrooms AP 100g Bag,AMS,2854,110.7,75.5,,73.0,,61.6,,77.6
48003,WWB ORG Lemon Balm 25ct Tea Bag 2.25g,Maisa 1,2808,,75.5,88.1,,93.3,,,84.9
40071,ORG Java 25CT Tea Bag - GA,Maisa 2+3,2798,90.0,,200.2,412.1,63.9,,60.6,89.8
53220,Dandelion Caramel Nut 30g Trial Size Packet - A,WeighRight,2700,,,,147.6,,,,147.6
10061A,AMZN - WWB - ORG Date Sugar - 1 Lb,AMS,2671,34.3,33.1,47.4,,,,,40.4
43310,ORG Dandelion Mocha Mint 10CT Tea Bag - A,Maisa 1,2631,82.1,134.8,106.5,,,70.8,,94.0
40031,ORG Almond Amaretto 25CT Tea Bag - GA,Maisa 1,2595,,81.5,114.5,167.7,,,,118.0
TB301,ORG Dandelion Vanilla Nut Tea Bag - A,Maisa 1,2570,,128.5,,,,,,128.5
10401A,AMZN-WWB-ORG Krishna Tulsi- 8OZ Bag,AMS,2520,36.9,39.8,,,,,,38.3
10019,ORG Astragalus 8 Oz Bag,AMS,2512,,184.0,,,87.2,,,112.5
40132,ORG Maca Chocolate 25CT Tea Bag - G,Maisa 2+3,2506,95.1,140.2,,261.9,91.2,,,111.6
30011L,ORG Instant Mocha 100g Bag - G,AMS,2433,61.7,62.2,87.0,,,,,68.8
40130,ORG Maca Chocolate 10ct/6pk Tea Bag - G,Maisa 2+3,2432,89.6,110.4,,36.9,99.5,,,90.8
43226,Dandelion Caramel Nut Tagless Tea Bag - 50 Ct - A,AMS,2421,200.4,,100.0,101.6,,129.3,,120.1
43340,ORG Dandelion Coconut 10CT Tea Bag - A,Maisa 1,2402,86.3,,99.4,116.9,,115.3,,103.3
TGB502,Chaga Ashwaganda Tea Goody Bag,Assembly,2395,,23.3,14.4,17.7,8.1,,24.8,16.3
40081,ORG Mocha 25CT Tea Bag - GA,Maisa 2+3,2382,88.4,,118.8,643.9,,,,112.0
82130L,ORG Mexican Chocolate 11OZ Bag/Box of 24 - G,WeighRight,2319,90.7,134.9,,98.9,,,135.7,108.6
43220L,Org Dandelion Caramel Nut 10 Ct Tea Bag Loose - A,Maisa 2+3,2278,,37.8,90.6,479.6,,,,91.3
40131,ORG Mexican Chocolate 25CT Tea Bag - G,Maisa 2+3,2272,101.7,97.0,,,,94.5,,97.5
43081,ORG Dandelion Mocha 25CT Tea Bag - A,Maisa 1,2211,,90.7,149.8,474.1,,,,166.0
80113,ORG French Roast 11OZ Bag 3PK - G,WeighRight,2208,107.7,158.9,111.3,151.5,109.1,377.7,78.0,118.9
10059A,AMZN ORG French Chicory 2 X 1 Lb Bag,WeighRight,2184,56.4,,52.8,,,29.9,58.0,47.6
50089,ORG Raspberry Mocha 30g Trial Size Packet - GA,WeighRight,2160,121.8,,,138.2,,,,129.5
53340,Dandelion Coconut 30g Trial Size Packet - A,WeighRight,2160,,,,148.1,,,,148.1
40016,Vanilla Nut Tagless Tea Bag - 50 Ct - GA,AMS,2103,169.1,116.1,,101.0,,,,131.8
40011A,ORG 25 CT Vanilla Nut AMZN - GA,Maisa 2+3,2088,71.2,,123.2,,,,,84.3
45070,ORG Miraculous Mushrooms A&P 10Ct/6Pk Tea Bag,Maisa 1,2067,83.9,114.4,99.8,136.4,,,90.1,100.1
30012L,ORG GF Dandelion Blend 100g Bag,AMS,2045,120.1,,114.8,,,,62.4,92.5
82110L,ORG French Vanilla 11OZ Bag/Box of 24 - G,WeighRight,2019,151.6,114.3,,,,,164.2,139.3
50030,Almond Amaretto 30g Trial Size Packet - GA,WeighRight,1980,118.9,,,87.0,,,,101.9
45030,ORG Lion's Mane Rhodiola 10 Ct Tea Bag/6 Count Case - G,Maisa 2+3,1937,100.7,148.8,87.0,,73.4,,,94.5
83220L,Dandelion Caramel Nut 10 Oz Bag/Box of 24 - A,WeighRight,1935,143.6,113.6,,190.2,,169.7,206.1,152.1
10302A,WWB Organic Cinnamon Powder 1lb - AMZN Label,AMS,1901,8.6,,23.9,33.1,,101.8,,28.0
43116,Dandelion DarkRoast Tagless Tea Bag - 50 Ct,Maisa 1,1890,111.3,,98.2,,,,7.5,98.4
10001A,Sage 2 Oz Bags AMZN,AMS,1870,34.5,40.7,34.0,,,,42.3,39.3
