date,month,machine,ams_mode,item,description,category,category_source,style_confidence,is_production_run,operators,units_packs,machine_hrs,operator_hrs,units_per_machine_hr,units_per_machine_min,units_per_operator_hr,data_flag
2026-01-28,2026-01,WeighRight,,83310L,ORG Dandelion Mocha Mint 10 Oz Bag/Box of 24 - A,Bag/Other,inferred,,yes,3.0,360,0.45,1.35,800.0,13.333,266.7,
2026-01-28,2026-01,WeighRight,,83340L,ORG Dandelion Coconut 10 Oz Bag/Box of 24 - A,APG,governed,high,yes,3.0,627,1.08,3.24,580.6,9.676,193.5,
2026-01-28,2026-01,WeighRight,,Clean,Standard Clean,Bag/Other,inferred,,,3.0,0,0.17,0.51,,,,
2026-01-28,2026-01,WeighRight,,Clean,Standard Clean,Bag/Other,inferred,,,3.0,0,0.35,1.05,,,,
2026-01-28,2026-01,WeighRight,,Clean,Standard Clean,Bag/Other,inferred,,,3.0,0,0.17,0.51,,,,
2026-01-28,2026-01,WeighRight,,Clean,Standard Clean,Bag/Other,inferred,,,3.0,0,0.2,0.6,,,,
2026-01-28,2026-01,WeighRight,,CleanG,Clean + Gluten Test,Bag/Other,inferred,,,3.0,0,0.25,0.75,,,,
2026-01-29,2026-01,AMS,handpack,10302A,WWB Organic Cinnamon Powder 1lb - AMZN Label,Bag/Other,inferred,,yes,2.0,264,18.32,36.64,14.4,0.24,7.2,
2026-01-29,2026-01,AMS,handpack,10402A,AMZN- WWB-ORG Rama Tulsi - 8 OZ Bag,Bag/Other,inferred,,yes,3.0,72,1.37,4.11,52.6,0.876,17.5,
2026-01-29,2026-01,AMS,handpack,40116,French Roast Tagless Tea Bag - 50 Ct - G,Tea,governed,high,yes,2.0,255,3.08,6.16,82.8,1.38,41.4,
2026-01-29,2026-01,AMS,handpack,40116,French Roast Tagless Tea Bag - 50 Ct - G,Tea,governed,high,yes,1.0,440,8.03,8.03,54.8,0.913,54.8,
2026-01-29,2026-01,Assembly,,40001A,AMZN Labeled Herbal Tea Sampler Box/Variety Pack,Bundle,inferred,,yes,1.0,201,3.55,3.55,56.6,0.944,56.6,
2026-01-29,2026-01,Assembly,,43001,Dandelion Tea Sampler Box - 6 Count Case,Sampler,inferred,,yes,2.0,20,4.11,8.22,4.9,0.081,2.4,
