item,description,primary_machine,scorable_units,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,eff_pct
83110L,ORG Dandelion Dark Roast 10 oz Bag/Box of 24,WeighRight,22983,114.5,,,127.9,105.7,64.4,78.2,105.2,146.9,116.6,101.5,128.9,128.1,101.5,126.2,,86.8,101.1,90.6,105.5
43110,ORG Dandelion Dark Roast 10ct/6pk Tea Bag,Maisa 2+3,20895,94.3,81.9,,82.5,90.6,77.8,,74.1,79.1,85.9,78.8,73.9,34.8,117.3,77.1,97.7,,,51.0,76.8
43001L,Dandelion Tea Sampler Box - Loose - G,Assembly,20807,127.9,,117.4,,999.5,272.0,,147.4,,,123.0,108.6,,88.4,407.2,173.3,,297.5,155.0,141.7
40001L,Herbal Tea Sampler Box - Loose,Assembly,20738,101.9,231.3,214.4,,,,,,,135.4,105.7,143.5,143.4,144.3,,190.7,,,,153.8
45020,ORG Chaga Ashwagandha 10 Ct Tea Bag/6 Count Case,Maisa 2+3,19566,137.4,96.2,93.7,103.3,118.5,,90.5,93.8,101.8,103.8,55.1,61.8,71.9,91.0,100.7,94.7,,105.6,80.6,89.0
80110L,Org French Roast 11oz Bag/Box of 24 - G,WeighRight,17993,104.7,,176.7,73.3,114.5,,99.8,,154.7,162.5,,108.2,113.6,,,138.4,112.1,121.2,,117.3
45001L,Mushroom Adapt Tea Bag Sampler Box,Assembly,17654,254.0,214.0,123.9,,156.0,,236.3,,,143.1,633.4,101.2,,68.9,127.1,,208.3,,188.9,139.3
50110,ORG French Roast 30g Trial Size Packet - G,WeighRight,17323,118.6,,,106.3,148.1,107.5,135.1,,133.7,,,,200.9,,143.4,203.2,,,597.4,151.9
55020,Chaga Ashwagandha 30g Trial Size Packet,WeighRight,17086,159.6,132.0,,146.2,143.6,114.0,,173.0,,,,227.2,,175.4,133.4,135.6,,,,143.8
TB337,ORG Blueberry Vanilla Tea Bag,Maisa 1,16733,,62.0,,,,,,,,,,,,178.5,105.4,,,,,96.2
