date,month,machine,ams_mode,item,description,category,category_source,style_confidence,is_production_run,operators,units_packs,machine_hrs,operator_hrs,units_per_machine_hr,units_per_machine_min,units_per_operator_hr,data_flag
2025-01-16,2025-01,WeighRight,,80060L,Org Hazelnut 11OZ Bag/Box of 24 - GA,Bag/Other,inferred,,yes,3.0,816,2.03,6.09,402.0,6.7,134.0,
2025-01-16,2025-01,WeighRight,,80063,ORG Hazelnut 11OZ Bag 3PK  - GA,Bag/Other,inferred,,yes,3.0,480,3.35,10.05,143.3,2.388,47.8,
2025-01-16,2025-01,WeighRight,,80089A,AMZN ORG Raspberry Mocha 11OZ Bag/Box of 24 - GA,Bag/Other,inferred,,yes,3.0,576,1.18,3.54,488.1,8.136,162.7,
2025-01-16,2025-01,WeighRight,,Clean,Standard Clean,Bag/Other,inferred,,,3.0,0,0.52,1.56,,,,
2025-01-17,2025-01,Maisa 1,,43340,ORG Dandelion Coconut 10CT Tea Bag - A,Tea,inferred,,yes,3.0,609,8.11,24.33,75.1,1.252,25.0,
2025-01-17,2025-01,Maisa 1,,Clean,Standard Clean,Tea,inferred,,,3.0,0,0.3,0.9,,,,
2025-01-17,2025-01,Maisa 2+3,,40130,ORG Maca Chocolate 10ct/6pk Tea Bag - G,Tea,inferred,,yes,5.0,631,4.01,20.05,157.4,2.623,31.5,
2025-01-17,2025-01,Maisa 2+3,,40130L,Org Maca Chocolate 10 Ct Tea Bag Loose - G,Tea,governed,high,yes,5.0,396,0.25,1.25,1584.0,26.4,316.8,
2025-01-17,2025-01,Maisa 2+3,,40132,ORG Maca Chocolate 25CT Tea Bag - G,Tea,governed,high,yes,5.0,192,0.32,1.6,600.0,10.0,120.0,
2025-01-17,2025-01,Maisa 2+3,,43111,ORG Dandelion Dark Roast 25CT Tea Bag,Tea,governed,high,yes,5.0,456,2.4,12.0,190.0,3.167,38.0,
2025-01-17,2025-01,Maisa 2+3,,CleanG,Clean + Gluten Test,Tea,inferred,,,5.0,0,0.35,1.75,,,,
2025-01-17,2025-01,Maisa 2+3,,TB130,ORG Maca Chocolate Tea Bag - G,Tea,inferred,,yes,4.0,16985,1.55,6.2,10958.1,182.634,2739.5,
2025-01-20,2025-01,Assembly,,40001,Herbal Tea Sampler Box - 6 Count Case,Sampler,inferred,,yes,1.0,30,7.2,7.2,4.2,0.069,4.2,
2025-01-20,2025-01,Assembly,,43001,Dandelion Tea Sampler Box - 6 Count Case,Sampler,inferred,,yes,1.0,112,10.1,10.1,11.1,0.185,11.1,
