item,description,primary_machine,runs,scorable_runs,units_made,scorable_units,machine_hrs,direct_labor_hrs,direct_labor_usd,expected_hrs,actual_hrs_scorable,efficiency_pct,standard_looks_suspect,overrun_hrs,overrun_usd,actual_units_per_operator_hr,standard_units_per_operator_hr,actual_units_per_machine_hr
83223,ORG Dandelion Caramel Nut 10OZ Bag 3PK - A,Assembly,2,2,224,224,3.8,4.8,124.57,4.6,4.8,96.5,,0.2,4.32,46.86,48.54,58.64
82120L,ORG Chocolate Raspberry 11OZ Bag/Box of 24 - G,WeighRight,1,1,216,216,0.5,1.6,42.22,1.5,1.6,91.6,,0.1,3.55,133.33,145.56,400.0
82110A,AMZN Org French Vanilla 11OZ Bag/Box of 24 - G,WeighRight,2,2,192,192,0.7,1.4,36.74,1.3,1.4,93.5,,0.1,2.37,136.17,145.56,286.57
83330L,ORG Dandelion Turmeric 10 Oz Bag/Box of 24,WeighRight,1,1,429,429,1.0,3.0,78.96,2.9,3.0,97.3,,0.1,2.16,141.58,145.56,424.75
TB120,DO NOT MAKE ORG Maya Chai Tea Bag - G,Maisa 1,1,1,9305,9305,2.2,6.5,168.87,6.4,6.5,99.1,,0.1,1.55,1435.96,1449.28,4307.87
83226A,Dandelion Caramel Nut 500g APG Bag - A,WeighRight,5,5,2016,2016,6.9,20.8,542.57,20.8,20.8,99.7,,0.1,1.44,96.83,97.09,290.49
43110L,Org Dandelion Dark Roast 10 Ct Tea Bag Loose,Maisa 2+3,3,3,1800,1800,3.8,12.4,323.67,12.4,12.4,99.6,,0.1,1.41,144.93,145.56,476.19
80040L,ORG Blood Orange 11OZ Bag/Box of 24 - GA,WeighRight,7,7,10359,10359,22.7,71.2,1855.99,71.2,71.2,99.9,,0.1,1.4,145.45,145.56,456.34
60040,ORG Blood Orange 5 Lb Bag - GA,WeighRight,2,2,30,30,0.4,1.1,28.14,1.0,1.1,95.4,,0.0,1.3,27.78,29.12,83.33
63010,ORG Dandelion Vanilla Nut 5 Lb Bag - A,WeighRight,3,3,46,46,0.5,1.6,41.44,1.6,1.6,99.3,,0.0,0.27,28.93,29.12,86.79
86010l,ORG Dark Chocolate 10 Oz Bag/Box of 24,WeighRight,1,1,56,56,0.1,0.4,10.16,0.4,0.4,98.6,,0.0,0.14,143.59,145.56,430.77
20111,ORG French Roast 300G Dual Language Bag - 6Ct Case - G,WeighRight,5,5,738,738,10.1,30.4,791.96,30.4,30.4,100.1,,-0.0,-0.6,24.28,24.27,72.85
48008,WWB ORG Rooibos Masala Chai 25ct Tea Bag 4g,Assembly,1,1,120,120,2.0,2.0,52.64,2.1,2.0,102.0,,-0.0,-1.05,59.41,58.24,59.41
83360A,AMZN ORG Holiday Egg Nog 10oz Bag,WeighRight,1,1,168,168,0.4,1.1,28.93,1.2,1.1,104.0,,-0.0,-1.15,151.35,145.56,454.05
85040L,ORG Cordyceps Schisandra 10 Oz Bag/Box of 24,WeighRight,3,3,1236,1236,3.1,8.4,219.69,8.5,8.4,100.7,,-0.1,-1.6,146.62,145.56,392.38
62120,ORG Chocolate Raspberry 5 Lb Bag - G,WeighRight,3,2,42,42,0.9,2.6,67.23,1.4,1.4,104.5,,-0.1,-1.62,30.43,29.12,48.84
TB206,ORG Maple Pecan Tea Bag - GA,Maisa 1,2,2,6230,6230,1.4,4.2,109.45,4.3,4.2,102.3,,-0.1,-2.57,1483.33,1449.28,4450.0
30011,Instant Mocha 100g Bag / 6 Count Case - G,AMS,3,3,226,226,4.8,14.2,371.35,14.4,14.2,101.0,,-0.1,-3.57,15.86,15.71,46.6
65050,ORG Turkey Tail Astragalus 5 Lb Bag - G,WeighRight,6,6,219,219,2.5,7.4,192.32,7.5,7.4,101.9,,-0.1,-3.66,29.67,29.12,89.02
62050,Gingerbread 5 LB Bag - GA,WeighRight,1,1,12,12,0.1,0.3,7.04,0.4,0.3,152.7,,-0.1,-3.71,44.44,29.11,133.33
TB050,ORG English Toffee Tea Bag Loose - GA,Maisa 1,1,1,5000,5000,1.1,3.3,86.0,3.4,3.3,104.5,,-0.1,-3.91,1515.15,1449.28,4545.45
82020L,ORG Caramel Nut 11oz Bag/Box of 24 - GA,WeighRight,5,5,1934,1934,4.4,13.1,341.65,13.3,13.1,101.3,,-0.2,-4.6,147.52,145.56,442.56
50094,DO NOT MAKE Teeccino Intro Sampler,Assembly,2,2,180,180,6.0,6.0,155.32,6.2,6.0,103.7,,-0.2,-5.76,30.2,29.12,30.2
45052,Turkey Tail Astragalus TB Demo Tray - G,Assembly,7,7,75,75,2.3,2.3,60.72,2.6,2.3,110.5,,-0.2,-6.4,32.19,29.12,32.19
83320A,AMZN Org Dandelion Red Chai 10OZ Bag/Box of 24,WeighRight,1,1,120,120,0.2,0.6,14.85,0.8,0.6,144.6,,-0.3,-6.63,210.53,145.56,631.58
62070,ORG Candy Cane 5 Lb Bag  - G,WeighRight,2,2,59,59,0.6,1.8,46.13,2.0,1.8,114.5,,-0.3,-6.67,33.33,29.12,100.0
62010,ORG Pumpkin Spice 5 Lb Bag - GA,WeighRight,2,1,12,12,0.3,0.8,21.11,0.4,0.2,274.7,,-0.3,-6.83,80.0,29.12,44.44
